frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height,box_area
3,12,person,0.839,736.04,303.06,829.85,539.69,782.94,421.38,93.8,236.63,22197.22
3,13,person,0.7975,31.92,0.74,110.28,188.05,71.1,94.4,78.37,187.31,14678.85
4,1,person,0.8932,102.71,833.07,245.75,1192.15,174.23,1012.61,143.04,359.08,51361.07
4,2,person,0.8859,492.75,465.05,643.23,788.95,567.99,627.0,150.49,323.9,48743.06
4,3,person,0.8953,621.05,1411.51,819.2,1788.59,720.12,1600.05,198.16,377.08,74721.04
4,4,person,0.8961,628.92,294.82,763.42,617.86,696.17,456.34,134.5,323.04,43448.34
4,5,person,0.8711,718.45,990.68,852.97,1319.52,785.71,1155.1,134.52,328.83,44235.48
4,6,person,0.8723,0.48,832.3,108.03,1198.1,54.26,1015.2,107.55,365.8,39339.88
4,7,person,0.8498,159.67,234.6,272.5,529.78,216.09,382.19,112.83,295.17,33302.9
4,8,person,0.8753,820.06,917.91,988.45,1272.49,904.26,1095.2,168.38,354.58,59705.52
4,9,person,0.8456,578.31,86.23,691.15,352.53,634.73,219.38,112.84,266.3,30048.62
4,10,person,0.8239,209.59,1.19,303.61,247.37,256.6,124.28,94.03,246.18,23147.09
4,11,person,0.8506,458.38,1472.11,636.89,1859.98,547.63,1666.04,178.51,387.87,69237.82
4,12,person,0.8656,739.06,305.96,832.32,542.13,785.69,424.04,93.26,236.17,22025.0
4,13,person,0.7867,32.56,0.79,110.76,191.73,71.66,96.26,78.19,190.95,14930.82
4,14,handbag,0.7207,793.09,1600.69,838.6,1727.86,815.85,1664.27,45.51,127.17,5787.22
5,1,person,0.8886,104.07,837.98,248.13,1193.55,176.1,1015.76,144.06,355.57,51224.14
5,2,person,0.8767,493.66,467.21,644.41,790.11,569.04,628.66,150.75,322.89,48675.41
5,3,person,0.8574,630.12,1417.19,827.49,1804.65,728.81,1610.92,197.36,387.47,76472.34
5,4,person,0.8892,630.83,297.04,767.54,619.47,699.18,458.26,136.71,322.43,44077.95
5,5,person,0.8699,722.09,998.16,857.82,1336.11,789.96,1167.14,135.72,337.96,45868.21
5,6,person,0.8788,0.36,836.32,110.06,1199.75,55.21,1018.03,109.7,363.42,39868.12
5,7,person,0.8386,160.17,238.25,273.9,537.83,217.03,388.04,113.73,299.58,34070.44
5,8,person,0.8595,823.34,925.35,991.31,1277.08,907.32,1101.21,167.97,351.72,59080.28
5,9,person,0.8295,579.76,89.56,691.62,356.32,635.69,222.94,111.86,266.77,29840.03
5,10,person,0.8147,211.06,2.25,304.19,252.11,257.62,127.18,93.13,249.85,23267.79
5,11,person,0.8567,459.31,1482.25,643.98,1882.94,551.65,1682.59,184.67,400.69,73995.69
5,12,person,0.8668,742.02,308.98,835.63,549.0,788.82,428.99,93.6,240.02,22466.89
5,13,person,0.7492,32.54,0.48,110.36,196.35,71.45,98.42,77.82,195.87,15243.18
5,16,person,0.5318,1.24,583.92,48.5,774.59,24.87,679.26,47.26,190.67,9010.58
5,14,handbag,0.5767,803.25,1609.38,844.02,1738.12,823.64,1673.75,40.77,128.74,5248.52
6,1,person,0.8881,105.59,842.24,249.99,1193.84,177.79,1018.04,144.4,351.6,50771.73
6,2,person,0.8807,494.23,469.86,645.26,790.65,569.75,630.26,151.02,320.79,48446.8
6,3,person,0.886,636.96,1427.14,833.44,1827.01,735.2,1627.07,196.48,399.87,78566.76
6,4,person,0.8891,633.4,299.54,771.48,619.96,702.44,459.75,138.08,320.41,44242.6
6,5,person,0.8607,725.12,1004.78,861.12,1349.65,793.12,1177.22,135.99,344.87,46899.83
6,6,person,0.8797,0.2,840.56,111.85,1199.6,56.03,1020.08,111.64,359.04,40084.04
6,7,person,0.8327,161.11,242.36,274.93,543.3,218.02,392.83,113.82,300.94,34252.18
6,8,person,0.8563,827.06,932.67,994.58,1285.29,910.82,1108.98,167.52,352.63,59072.26
6,9,person,0.8038,580.49,92.94,692.85,363.15,636.67,228.04,112.37,270.21,30362.22
6,10,person,0.7865,212.19,3.89,305.4,255.42,258.8,129.65,93.2,251.53,23443.79
6,11,person,0.8583,458.73,1493.17,652.64,1904.21,555.68,1698.69,193.91,411.04,79704.94
6,12,person,0.8717,745.44,312.73,838.18,558.97,791.81,435.85,92.74,246.25,22836.34
6,13,person,0.6729,32.44,0.42,110.06,206.73,71.25,103.57,77.62,206.32,16014.16
6,16,person,0.5312,1.13,585.47,51.11,788.41,26.12,686.94,49.98,202.95,10144.26
6,14,handbag,0.5387,805.65,1615.41,848.69,1747.2,827.17,1681.3,43.04,131.79,5671.66
7,1,person,0.8949,107.35,847.48,251.54,1194.84,179.45,1021.16,144.2,347.36,50087.76
7,2,person,0.8733,495.41,473.16,645.41,791.56,570.41,632.36,150.0,318.4,47759.26
7,3,person,0.8949,647.14,1437.02,840.58,1847.17,743.86,1642.09,193.44,410.15,79340.98
7,4,person,0.8734,635.14,302.99,774.73,620.79,704.93,461.89,139.59,317.8,44360.56
7,5,person,0.8563,728.39,1011.62,861.7,1358.26,795.04,1184.94,133.31,346.65,46210.14
