frame,track_id,center_x,center_y,box_area,confidence,time
122,13,178.77,460.94,29186.0,0.8882,4.88
123,13,180.27,465.81,29351.2,0.8877,4.92
124,13,180.39,468.46,28865.95,0.8794,4.96
125,13,179.84,471.85,27482.6,0.8522,5.0
126,13,179.0,475.87,26351.27,0.8465,5.04
127,13,178.94,479.89,26062.49,0.8455,5.08
128,13,179.19,482.18,25957.03,0.8405,5.12
129,13,180.4,483.52,25766.71,0.8386,5.16
130,13,182.07,484.24,25605.3,0.8358,5.2
131,13,183.7,485.13,25657.41,0.8299,5.24
132,13,185.27,485.88,26032.14,0.8591,5.28
133,13,186.36,486.88,26019.29,0.8532,5.32
134,13,187.37,488.06,26068.45,0.8612,5.36
135,13,187.84,489.54,26043.14,0.8587,5.4
136,13,188.46,490.74,25616.3,0.8646,5.44
137,13,189.08,494.0,25635.69,0.8443,5.48
138,13,189.9,499.42,26105.77,0.8485,5.52
139,13,190.6,504.42,26584.36,0.8548,5.56
140,13,191.68,506.97,26235.21,0.8475,5.6
141,13,192.77,510.23,26013.44,0.8527,5.64
142,13,193.16,514.09,25955.56,0.8747,5.68
143,13,193.44,518.16,26004.19,0.8736,5.72
144,13,193.7,522.3,26238.04,0.8686,5.76
145,13,193.85,525.64,26342.0,0.8618,5.8
146,13,193.8,528.11,26488.33,0.8593,5.84
147,13,194.24,528.8,26720.08,0.8627,5.88
148,13,194.36,529.77,26663.94,0.863,5.92
149,13,194.16,531.07,26736.56,0.8678,5.96
150,13,194.5,531.92,26624.59,0.8672,6.0
151,13,194.99,532.18,26461.96,0.8715,6.04
152,13,196.18,533.3,26796.14,0.8763,6.08
153,13,197.49,534.54,27592.34,0.8705,6.12
154,13,198.78,536.53,28416.79,0.8762,6.16
155,13,198.87,541.58,29402.75,0.8791,6.2
156,13,197.88,547.41,29800.22,0.8804,6.24
157,13,196.44,552.47,29594.63,0.867,6.28
158,13,195.28,551.96,28000.98,0.8572,6.32
159,13,194.07,558.33,27699.36,0.8808,6.36
160,13,193.1,563.17,27673.11,0.8785,6.4
161,13,193.03,568.54,27726.07,0.8612,6.44
162,13,194.06,572.83,27791.96,0.8607,6.48
163,13,193.98,576.31,27983.53,0.867,6.52
164,13,194.27,578.79,28113.89,0.8661,6.56
165,13,194.31,580.09,28107.64,0.8582,6.6
166,13,194.98,580.87,28462.29,0.8681,6.64
167,13,195.65,581.93,28639.46,0.8709,6.68
168,13,195.78,583.52,28480.91,0.8744,6.72
169,13,195.95,585.34,28035.33,0.8767,6.76
170,13,196.44,586.85,27919.51,0.8694,6.8
171,13,196.66,588.34,27835.93,0.8674,6.84
172,13,197.2,591.09,27659.72,0.8717,6.88
173,13,197.59,596.79,27738.53,0.8671,6.92
174,13,198.35,602.92,28275.66,0.8725,6.96
175,13,199.03,609.24,28544.81,0.8727,7.0
176,13,199.78,612.4,28139.59,0.8667,7.04
177,13,200.31,616.2,28016.68,0.8707,7.08
178,13,201.06,620.07,27871.38,0.8684,7.12
179,13,201.42,625.94,28092.22,0.8695,7.16
180,13,201.88,630.1,27911.06,0.8685,7.2
181,13,201.86,633.73,27795.79,0.8791,7.24
182,13,202.11,635.67,27747.92,0.878,7.28
183,13,202.33,637.19,27584.11,0.8823,7.32
184,13,202.69,638.39,27770.45,0.8772,7.36
185,13,202.88,640.24,27946.66,0.8699,7.4
186,13,203.66,641.94,28074.07,0.8742,7.44
187,13,204.55,643.59,28147.2,0.8778,7.48
188,13,205.25,645.18,28391.8,0.8755,7.52
189,13,207.35,646.19,29363.96,0.8734,7.56
190,13,208.8,649.25,30391.97,0.8679,7.6
191,13,209.97,656.44,31934.03,0.874,7.64
192,13,209.23,662.93,32023.4,0.8748,7.68
193,13,208.25,667.12,31585.4,0.8699,7.72
194,13,206.93,672.16,30828.63,0.8582,7.76
195,13,205.7,678.18,30558.27,0.8699,7.8
196,13,205.49,683.21,30467.29,0.8751,7.84
197,13,205.86,689.38,30463.23,0.8572,7.88
198,13,206.56,693.72,30389.12,0.8733,7.92
199,13,207.23,696.9,30343.85,0.8854,7.96
200,13,207.63,699.38,30184.92,0.8851,8.0
201,13,208.46,701.38,30109.88,0.89,8.04
202,13,208.97,703.47,29841.75,0.8881,8.08
203,13,209.47,705.12,29612.43,0.885,8.12
204,13,210.19,707.28,29609.35,0.8865,8.16
205,13,211.16,709.32,29495.64,0.8826,8.2
206,13,211.85,711.75,29075.49,0.8775,8.24
207,13,212.45,715.52,28708.24,0.8846,8.28
208,13,213.08,723.29,28932.59,0.8692,8.32
209,13,213.75,731.98,29222.63,0.8719,8.36
210,13,214.18,738.95,29569.74,0.8689,8.4
211,13,214.74,744.95,29670.45,0.8768,8.44
212,13,215.35,750.3,29747.0,0.887,8.48
213,13,216.13,754.98,29742.2,0.8858,8.52
214,13,216.59,761.21,30120.81,0.8755,8.56
215,13,216.95,765.91,30201.52,0.8812,8.6
216,13,217.36,768.82,29967.31,0.8773,8.64
217,13,218.26,771.51,29878.55,0.8745,8.68
218,13,218.95,773.81,29823.75,0.877,8.72
219,13,219.32,776.18,29442.53,0.8806,8.76
220,13,219.92,778.73,29109.67,0.879,8.8
221,13,220.87,781.4,28917.18,0.8801,8.84
222,13,222.1,783.77,28776.63,0.8835,8.88
223,13,223.97,785.63,29427.45,0.8894,8.92
224,13,225.7,788.52,29801.47,0.8827,8.96
225,13,227.95,795.66,30705.89,0.8757,9.0
226,13,229.47,804.0,32078.79,0.881,9.04
227,13,230.74,811.24,32347.23,0.8753,9.08
228,13,232.55,818.17,33077.07,0.8772,9.12
229,13,234.46,823.41,32845.44,0.8889,9.16
230,13,237.43,829.04,32859.72,0.878,9.2
231,13,239.21,835.05,32638.96,0.8749,9.24
232,13,240.83,838.41,32135.01,0.8696,9.28
233,13,243.12,839.85,31881.43,0.8752,9.32
234,13,245.61,841.39,31682.13,0.8725,9.36
235,13,248.5,843.26,31410.94,0.874,9.4
236,13,251.54,845.32,30993.53,0.8694,9.44
237,13,253.09,847.06,30490.45,0.8714,9.48
238,13,254.92,849.1,30435.42,0.8805,9.52
239,13,257.2,851.0,29983.19,0.872,9.56
240,13,259.23,855.73,30081.13,0.8767,9.6
241,13,260.89,862.9,30803.6,0.8678,9.64
242,13,263.08,870.26,31498.44,0.8795,9.68
243,13,264.97,877.6,31994.36,0.8725,9.72
244,13,267.86,881.39,31970.42,0.8741,9.76
245,13,269.53,884.64,31626.54,0.8763,9.8
246,13,271.34,889.65,31749.25,0.8904,9.84
247,13,273.12,896.47,32427.61,0.8927,9.88
248,13,274.86,901.89,32526.38,0.8886,9.92
249,13,276.46,905.82,32556.56,0.88,9.96
250,13,278.67,908.89,32845.56,0.8832,10.0
251,13,280.33,910.97,32858.38,0.8934,10.04
252,13,282.1,913.52,32683.09,0.8881,10.08
253,13,284.33,915.14,32685.96,0.8833,10.12
254,13,285.53,916.71,32426.34,0.8874,10.16
255,13,287.56,918.12,32207.99,0.8854,10.2
256,13,291.15,919.45,32827.5,0.8829,10.24
257,13,295.89,921.23,34704.11,0.889,10.28
258,13,300.63,925.75,36712.43,0.8821,10.32
259,13,304.38,932.99,38596.99,0.8949,10.36
260,13,308.16,938.46,39837.98,0.9026,10.4
261,13,311.26,942.56,40426.14,0.8959,10.44
262,13,313.9,947.36,40615.47,0.8923,10.48
263,13,315.07,953.42,40277.81,0.8871,10.52
264,13,317.41,957.65,39969.83,0.8723,10.56
265,13,318.77,960.27,38739.05,0.8723,10.6
266,13,320.85,961.32,38202.55,0.8821,10.64
267,13,322.9,962.42,37335.73,0.8789,10.68
268,13,324.6,963.13,36225.38,0.8842,10.72
269,13,326.16,966.0,35934.4,0.8622,10.76
270,13,327.87,966.86,34539.19,0.8714,10.8
271,13,329.17,968.12,33883.69,0.8746,10.84
272,13,331.1,969.19,33653.14,0.8769,10.88
273,13,332.64,971.04,33663.39,0.8754,10.92
274,13,333.75,977.12,33656.93,0.8737,10.96
275,13,334.8,984.58,34170.47,0.8786,11.0
276,13,335.59,991.27,35191.07,0.8795,11.04
277,13,336.33,997.14,35582.67,0.8724,11.08
278,13,337.45,1000.96,35509.44,0.8684,11.12
279,13,337.85,1004.75,35369.07,0.8737,11.16
280,13,337.78,1009.23,35887.77,0.8685,11.2
281,13,336.79,1015.02,36192.33,0.8658,11.24
282,13,336.28,1020.55,36685.62,0.8672,11.28
283,13,336.03,1024.75,36835.99,0.8714,11.32
284,13,335.53,1028.26,36971.61,0.8782,11.36
285,13,334.23,1031.05,36904.11,0.8813,11.4
286,13,332.93,1033.65,36882.88,0.8775,11.44
287,13,331.91,1035.49,36523.76,0.8712,11.48
288,13,331.73,1037.09,36490.02,0.8712,11.52
289,13,331.31,1038.87,36449.54,0.879,11.56
290,13,331.56,1041.17,36792.61,0.8765,11.6
291,13,331.56,1043.26,37313.77,0.8716,11.64
292,13,331.58,1044.91,37660.81,0.8765,11.68
293,13,331.5,1048.22,38318.55,0.8766,11.72
294,13,331.64,1055.59,39545.21,0.8788,11.76
295,13,329.66,1064.2,39550.94,0.8862,11.8
296,13,328.08,1071.3,39436.96,0.8859,11.84
297,13,327.18,1077.97,39364.98,0.8912,11.88
298,13,326.86,1081.92,38956.09,0.8932,11.92
299,13,326.42,1088.45,38938.39,0.8934,11.96
300,13,326.13,1093.46,38862.18,0.8892,12.0
301,13,326.33,1100.31,39492.15,0.8902,12.04
302,13,326.81,1104.41,39873.18,0.8875,12.08
303,13,327.3,1107.64,40003.81,0.8853,12.12
304,13,327.84,1110.48,39793.32,0.8852,12.16
305,13,329.11,1113.52,40073.58,0.896,12.2
306,13,329.73,1116.63,40027.36,0.8941,12.24
307,13,330.26,1119.01,39599.86,0.893,12.28
308,13,330.53,1121.65,39422.24,0.8887,12.32
309,13,330.22,1124.57,38949.09,0.8977,12.36
310,13,330.11,1126.56,38460.47,0.9019,12.4
311,13,329.8,1129.03,38271.29,0.9072,12.44
312,13,329.7,1136.01,39254.73,0.9082,12.48
313,13,328.32,1144.09,40027.03,0.8992,12.52
314,13,327.76,1153.35,40894.99,0.9082,12.56
315,13,326.87,1158.98,41262.84,0.8971,12.6
316,13,325.63,1164.28,41358.46,0.9016,12.64
317,13,324.17,1170.92,41409.36,0.8967,12.68
318,13,323.1,1178.34,41732.4,0.8965,12.72
319,13,321.93,1185.43,41654.92,0.8924,12.76
320,13,320.65,1190.42,41837.09,0.8924,12.8
321,13,319.57,1193.98,42037.94,0.8872,12.84
322,13,318.74,1196.77,42228.99,0.8813,12.88
323,13,317.08,1198.87,42248.39,0.8881,12.92
324,13,316.57,1201.0,42190.53,0.8874,12.96
325,13,315.87,1202.81,42365.71,0.8842,13.0
326,13,314.99,1205.18,42256.89,0.8911,13.04
327,13,314.53,1207.53,42686.66,0.8957,13.08
328,13,314.92,1209.31,42924.34,0.9036,13.12
329,13,315.17,1211.4,43015.21,0.9072,13.16
330,13,315.06,1214.9,43785.1,0.9008,13.2
331,13,314.52,1221.0,44654.23,0.9005,13.24
332,13,313.67,1228.56,45536.56,0.8937,13.28
333,13,312.87,1233.55,45043.96,0.904,13.32
334,13,311.88,1238.91,44650.25,0.8933,13.36
335,13,310.9,1243.28,44035.46,0.8912,13.4
336,13,310.15,1246.93,43317.82,0.8939,13.44
337,13,309.58,1251.89,42709.67,0.8881,13.48
338,13,309.48,1257.37,42030.11,0.8948,13.52
339,13,309.71,1262.75,42010.65,0.8969,13.56
340,13,310.19,1270.18,42911.03,0.9019,13.6
341,13,310.64,1275.79,42879.62,0.9078,13.64
342,13,311.36,1279.42,42624.75,0.9065,13.68
343,13,311.67,1281.38,42614.41,0.9034,13.72
344,13,312.61,1283.14,42388.23,0.9014,13.76
345,13,313.15,1284.98,41821.21,0.8997,13.8
346,13,314.01,1286.46,41318.02,0.8988,13.84
347,13,314.81,1288.67,41188.6,0.905,13.88
348,13,316.46,1290.15,41388.11,0.9029,13.92
349,13,317.57,1291.94,41098.36,0.9029,13.96
350,13,318.86,1294.49,41327.48,0.9023,14.0
351,13,319.27,1301.62,42546.21,0.9015,14.04
352,13,320.72,1310.18,44058.25,0.9078,14.08
353,13,322.25,1318.16,45129.95,0.9055,14.12
354,13,323.37,1324.91,46076.81,0.9066,14.16
